"","RECYEAR","RECMONTH","RECDAY","TRANSNUM","WATERSHED","COMMONNAME","AOUCODE","NOBS","TransID","yrID","SpecID","DURATION","REP"
"1",1981,5,27,2,"N04B","Acadian Flycatcher","ACFL",0,2,1,1,43,1
"2",1981,5,27,2,"N04B","American Crow","AMCR",0,2,1,2,43,1
"3",1981,5,27,2,"N04B","American Goldfinch","AMGO",0,2,1,3,43,1
"4",1981,5,27,2,"N04B","American Robin","AMRO",0,2,1,4,43,1
"5",1981,5,27,2,"N04B","American Tree Sparrow","ATSP",0,2,1,5,43,1
"6",1981,5,27,2,"N04B","Baltimore Oriole","BAOR",0,2,1,6,43,1
"7",1981,5,27,2,"N04B","Barn Swallow","BARS",0,2,1,7,43,1
"8",1981,5,27,2,"N04B","Bell's Vireo","BEVI",0,2,1,8,43,1
"9",1981,5,27,2,"N04B","Bewick's Wren","BEWR",0,2,1,9,43,1
"10",1981,5,27,2,"N04B","Black-capped Chickadee","BCCH",0,2,1,10,43,1
"11",1981,5,27,2,"N04B","Blue Grosbeak","BLGR",0,2,1,11,43,1
"12",1981,5,27,2,"N04B","Blue Jay","BLJA",0,2,1,12,43,1
"13",1981,5,27,2,"N04B","Blue-gray Gnatcatcher","BGGN",0,2,1,13,43,1
"14",1981,5,27,2,"N04B","Brown Thrasher","BRTH",0,2,1,14,43,1
"15",1981,5,27,2,"N04B","Brown-headed Cowbird","BHCO",6,2,1,15,43,1
"16",1981,5,27,2,"N04B","Carolina Wren","CARW",0,2,1,16,43,1
"17",1981,5,27,2,"N04B","Cedar Waxwing","CEDW",0,2,1,17,43,1
"18",1981,5,27,2,"N04B","Chimney Swift","CHSW",0,2,1,18,43,1
"19",1981,5,27,2,"N04B","Cliff Swallow","CLSW",0,2,1,19,43,1
"20",1981,5,27,2,"N04B","Common Grackle","COGR",0,2,1,20,43,1
"21",1981,5,27,2,"N04B","Common Yellowthroat","COYE",0,2,1,21,43,1
"22",1981,5,27,2,"N04B","Dark-eyed Junco","DEJU",0,2,1,22,43,1
"23",1981,5,27,2,"N04B","Dickcissel","DICK",3,2,1,23,43,1
"24",1981,5,27,2,"N04B","Eastern Bluebird","EABL",0,2,1,24,43,1
"25",1981,5,27,2,"N04B","Eastern Kingbird","EAKI",4,2,1,25,43,1
"26",1981,5,27,2,"N04B","Eastern Meadowlark","EAME",5,2,1,26,43,1
"27",1981,5,27,2,"N04B","Eastern Phoebe","EAPH",0,2,1,27,43,1
"28",1981,5,27,2,"N04B","Eastern Towhee","EATO",0,2,1,28,43,1
"29",1981,5,27,2,"N04B","Eastern Wood-Pewee","EAWP",0,2,1,29,43,1
"30",1981,5,27,2,"N04B","European Starling","EUST",0,2,1,30,43,1
"31",1981,5,27,2,"N04B","Field Sparrow","FISP",1,2,1,31,43,1
"32",1981,5,27,2,"N04B","Fox Sparrow","FOSP",0,2,1,32,43,1
"33",1981,5,27,2,"N04B","Golden-crowned Kinglet","GCKI",0,2,1,33,43,1
"34",1981,5,27,2,"N04B","Grasshopper Sparrow","GRSP",5,2,1,34,43,1
"35",1981,5,27,2,"N04B","Gray Catbird","GRCA",0,2,1,35,43,1
"36",1981,5,27,2,"N04B","Great Crested Flycatcher","GCFL",0,2,1,36,43,1
"37",1981,5,27,2,"N04B","Great-tailed Grackle","GTGR",0,2,1,37,43,1
"38",1981,5,27,2,"N04B","Henslow's Sparrow","HESP",0,2,1,38,43,1
"39",1981,5,27,2,"N04B","Horned Lark","HOLA",0,2,1,39,43,1
"40",1981,5,27,2,"N04B","House Sparrow","HOSP",0,2,1,40,43,1
"41",1981,5,27,2,"N04B","House Wren","HOWR",1,2,1,41,43,1
"42",1981,5,27,2,"N04B","Indigo Bunting","INBU",0,2,1,42,43,1
"43",1981,5,27,2,"N04B","Kentucky Warbler","KEWA",0,2,1,43,43,1
"44",1981,5,27,2,"N04B","Lapland Longspur","LALO",0,2,1,44,43,1
"45",1981,5,27,2,"N04B","Lark Sparrow","LASP",0,2,1,45,43,1
"46",1981,5,27,2,"N04B","LeConte's Sparrow","LCSP",0,2,1,46,43,1
"47",1981,5,27,2,"N04B","Lincoln's Sparrow","LISP",0,2,1,47,43,1
"48",1981,5,27,2,"N04B","Loggerhead Shrike","LOSH",0,2,1,48,43,1
"49",1981,5,27,2,"N04B","Louisiana Waterthrush","LOWA",0,2,1,49,43,1
"50",1981,5,27,2,"N04B","Mourning Dove","MODO",2,2,1,50,43,1
"51",1981,5,27,2,"N04B","Mourning Warbler","MOWA",0,2,1,51,43,1
"52",1981,5,27,2,"N04B","Northern Cardinal","NOCA",0,2,1,52,43,1
"53",1981,5,27,2,"N04B","Northern Flicker","NOFL",0,2,1,53,43,1
"54",1981,5,27,2,"N04B","Northern Mockingbird","NOMO",0,2,1,54,43,1
"55",1981,5,27,2,"N04B","Northern Rough-winged Swallow","NRWS",0,2,1,55,43,1
"56",1981,5,27,2,"N04B","Northern Shrike","NSHR",0,2,1,56,43,1
"57",1981,5,27,2,"N04B","Orange-crowned Warbler","OCWA",0,2,1,57,43,1
"58",1981,5,27,2,"N04B","Orchard Oriole","OROR",0,2,1,58,43,1
"59",1981,5,27,2,"N04B","Pine Siskin","PISI",0,2,1,59,43,1
"60",1981,5,27,2,"N04B","Red-winged Blackbird","RWBL",0,2,1,60,43,1
"61",1981,5,27,2,"N04B","Ruby-crowned Kinglet","RCKI",0,2,1,61,43,1
"62",1981,5,27,2,"N04B","Savannah Sparrow","SAVS",0,2,1,62,43,1
"63",1981,5,27,2,"N04B","Scissor-tailed Flycatcher","STFL",0,2,1,63,43,1
"64",1981,5,27,2,"N04B","Sedge Wren","SEWR",0,2,1,64,43,1
"65",1981,5,27,2,"N04B","Song Sparrow","SOSP",0,2,1,65,43,1
"66",1981,5,27,2,"N04B","Spotted Towhee","SPTO",0,2,1,66,43,1
"67",1981,5,27,2,"N04B","Summer Tanager","SUTA",0,2,1,67,43,1
"68",1981,5,27,2,"N04B","Swamp Sparrow","SWSP",0,2,1,68,43,1
"69",1981,5,27,2,"N04B","Tufted Titmouse","TUTI",0,2,1,69,43,1
"70",1981,5,27,2,"N04B","Vesper Sparrow","VESP",0,2,1,70,43,1
"71",1981,5,27,2,"N04B","Warbling Vireo","WAVI",0,2,1,71,43,1
"72",1981,5,27,2,"N04B","Western Kingbird","WEKI",0,2,1,72,43,1
"73",1981,5,27,2,"N04B","Western Meadowlark","WEME",0,2,1,73,43,1
"74",1981,5,27,2,"N04B","White-breasted Nuthatch","WBNU",0,2,1,74,43,1
"75",1981,5,27,2,"N04B","Winter Wren","WIWR",0,2,1,75,43,1
"76",1981,5,27,2,"N04B","Yellow Warbler","YEWA",0,2,1,76,43,1
"77",1981,5,27,2,"N04B","Yellow-billed Cuckoo","YBCU",0,2,1,77,43,1
"78",1981,5,27,2,"N04B","Yellow-rumped Warbler","YRWA",0,2,1,78,43,1
"79",1981,6,2,1,"N04D","Acadian Flycatcher","ACFL",0,1,1,1,55,1
"80",1981,6,2,1,"N04D","American Crow","AMCR",0,1,1,2,55,1
"81",1981,6,2,1,"N04D","American Goldfinch","AMGO",0,1,1,3,55,1
"82",1981,6,2,1,"N04D","American Robin","AMRO",0,1,1,4,55,1
"83",1981,6,2,1,"N04D","American Tree Sparrow","ATSP",0,1,1,5,55,1
"84",1981,6,2,1,"N04D","Baltimore Oriole","BAOR",0,1,1,6,55,1
"85",1981,6,2,1,"N04D","Barn Swallow","BARS",0,1,1,7,55,1
"86",1981,6,2,1,"N04D","Bell's Vireo","BEVI",1,1,1,8,55,1
"87",1981,6,2,1,"N04D","Bewick's Wren","BEWR",0,1,1,9,55,1
"88",1981,6,2,1,"N04D","Black-capped Chickadee","BCCH",0,1,1,10,55,1
"89",1981,6,2,1,"N04D","Blue Grosbeak","BLGR",0,1,1,11,55,1
"90",1981,6,2,1,"N04D","Blue Jay","BLJA",1,1,1,12,55,1
"91",1981,6,2,1,"N04D","Blue-gray Gnatcatcher","BGGN",0,1,1,13,55,1
"92",1981,6,2,1,"N04D","Brown Thrasher","BRTH",3,1,1,14,55,1
"93",1981,6,2,1,"N04D","Brown-headed Cowbird","BHCO",10,1,1,15,55,1
"94",1981,6,2,1,"N04D","Carolina Wren","CARW",0,1,1,16,55,1
"95",1981,6,2,1,"N04D","Cedar Waxwing","CEDW",0,1,1,17,55,1
"96",1981,6,2,1,"N04D","Chimney Swift","CHSW",0,1,1,18,55,1
"97",1981,6,2,1,"N04D","Cliff Swallow","CLSW",0,1,1,19,55,1
"98",1981,6,2,1,"N04D","Common Grackle","COGR",0,1,1,20,55,1
"99",1981,6,2,1,"N04D","Common Yellowthroat","COYE",2,1,1,21,55,1
"100",1981,6,2,1,"N04D","Dark-eyed Junco","DEJU",0,1,1,22,55,1
"101",1981,6,2,1,"N04D","Dickcissel","DICK",5,1,1,23,55,1
"102",1981,6,2,1,"N04D","Eastern Bluebird","EABL",0,1,1,24,55,1
"103",1981,6,2,1,"N04D","Eastern Kingbird","EAKI",3,1,1,25,55,1
"104",1981,6,2,1,"N04D","Eastern Meadowlark","EAME",8,1,1,26,55,1
"105",1981,6,2,1,"N04D","Eastern Phoebe","EAPH",0,1,1,27,55,1
"106",1981,6,2,1,"N04D","Eastern Towhee","EATO",0,1,1,28,55,1
"107",1981,6,2,1,"N04D","Eastern Wood-Pewee","EAWP",0,1,1,29,55,1
"108",1981,6,2,1,"N04D","European Starling","EUST",2,1,1,30,55,1
"109",1981,6,2,1,"N04D","Field Sparrow","FISP",0,1,1,31,55,1
"110",1981,6,2,1,"N04D","Fox Sparrow","FOSP",0,1,1,32,55,1
"111",1981,6,2,1,"N04D","Golden-crowned Kinglet","GCKI",0,1,1,33,55,1
"112",1981,6,2,1,"N04D","Grasshopper Sparrow","GRSP",3,1,1,34,55,1
